Label,Area (µm^2),EquivalentDiameter (µm),MajorAxisLength (µm),MinorAxisLength (µm),Perimeter (µm),Orientation (deg),AspectRatio,Circularity,Solidity,Class
2,115488.0,383.46302108857185,525.3845913246604,312.1308825218826,1606.9402589451772,-86.22646580847898,1.6832188698528643,0.5620141650738131,0.9021372328458943,Medium Sand
3,97920.0,353.09434464526214,558.9399530876708,255.2959124051838,1547.7199128346444,89.57509187093203,2.189380737912361,0.5136845791573297,0.9090909090909091,Medium Sand
4,302400.0,620.5059534991692,966.8481826380769,421.59876690035173,2851.3952365161153,-77.6723451157248,2.2932898730858935,0.46738719661784534,0.8674101610904585,Coarse Sand
5,119808.0,390.56917873230907,668.1509850456381,241.23712618377658,1577.4701294725887,88.75974772521229,2.7696855604913595,0.6050251023106533,0.9519450800915332,Medium Sand
6,31392.0,199.9238249642254,383.0820005448859,119.50304357828583,902.5584412271571,-82.07576899732595,3.2056254725757745,0.48425953989822884,0.889795918367347,Fine Sand
7,46224.0,242.59889677374497,365.6578977368576,173.67669234486573,919.5290039756344,84.82033289969236,2.1053941827195746,0.6869838439658092,0.9668674698795181,Fine Sand
8,823968.0,1024.2600456897371,1819.0140601544936,972.0416971799134,6896.333762357739,-69.05622650110482,1.8713333650519475,0.21771265085463276,0.5587344985841226,Very Coarse Sand
9,155088.0,444.3694122167804,561.8558998821699,377.5088049805157,1828.7636354360397,-32.058965701061524,1.48832528531664,0.5827374173121724,0.8915562913907285,Medium Sand
10,110016.0,374.2682483908883,576.3102950622017,255.73427909315885,1494.3229432149742,88.13054347272373,2.253551213806044,0.6191227828456812,0.926060606060606,Medium Sand
11,234864.0,546.8437916212264,1168.6012101745825,309.5476044657269,2820.6458864299484,-88.49117093624156,3.7751906114459044,0.37096179440053867,0.8118466898954704,Coarse Sand
12,71712.0,302.1697440711892,378.4859684252266,283.1974733714497,1291.1757569573601,-87.7631930654625,1.3364736765458138,0.540543902260521,0.8601036269430051,Medium Sand
13,249696.0,563.8464519372195,743.6917506938717,545.2978095326413,3147.7038943812167,-66.59101482777649,1.3638267707901999,0.31668953073849787,0.7034482758620689,Coarse Sand
14,8208.0,102.22891070135796,318.623084988188,36.84142955215594,530.9116882454314,-89.98664588125229,8.648499498020765,0.3659338951893471,0.8507462686567164,Very Fine Sand
15,165744.0,459.3819925754435,672.2036929827011,374.1251855966269,2171.3666658163697,-87.8875802626078,1.7967346729430174,0.44175487104119354,0.8401459854014599,Medium Sand
16,146736.0,432.2384502057387,547.3082882261718,357.52324822914517,1609.4255403194156,-74.56572665614317,1.5308327246886864,0.7118766732238911,0.8915135608048994,Medium Sand
17,345456.0,663.2105549265862,836.3630850670261,562.7869993658279,2639.086578651014,-82.20263728666521,1.4861094623889237,0.6232974182224306,0.9073373676248109,Coarse Sand
18,49248.0,250.40866817887374,287.04733973026333,242.55785475630108,1064.4549775709384,43.82928030008422,1.1834180345083487,0.5461901551329736,0.8402948402948403,Medium Sand
19,153936.0,442.71593890253376,570.4004215755201,369.8480167244267,1889.689609031344,52.43653533187525,1.5422562668506203,0.5417128172105294,0.844391785150079,Medium Sand
20,99072.0,355.1652969759321,448.57347634008323,311.3405229566742,1403.7199128346442,-52.81569684859527,1.4407808918677323,0.631829461703977,0.8865979381443299,Medium Sand
21,274752.0,591.4601519925712,790.5851366126308,459.69766228152946,2582.35151391472,30.469868877925794,1.7197936850252202,0.51774988228568,0.8122605363984674,Coarse Sand
22,19440.0,157.3269740052594,261.52773642064085,123.7971563574947,694.0142853498728,24.032230851874395,2.112550434239501,0.5071883913887911,0.7377049180327869,Fine Sand
23,235296.0,547.3464825117677,722.7538807536005,455.36099962212245,2567.5861453751254,62.12585660140976,1.5872107654220975,0.44851230364037326,0.8414006179196705,Coarse Sand
24,337680.0,655.7038428026557,779.2720192143936,637.8012139691872,2939.9393923933994,-54.17908366187508,1.221810184970957,0.49095133843775896,0.7801064537591483,Coarse Sand
25,185760.0,486.3301119918484,792.3146145184522,375.6352103041729,2369.263202160151,60.658501640799024,2.109266098555752,0.41584879541266906,0.7198660714285714,Medium Sand
26,216720.0,525.2965582744707,659.9595555106297,462.71725177464566,2218.2337649086285,29.86808113592092,1.4262696127700156,0.5534701875945375,0.8512443438914027,Coarse Sand
27,403488.0,716.7544052366203,932.7470079105751,587.94952094378,3111.777054234135,42.85235937110342,1.5864406291433388,0.5236288167342223,0.84093637454982,Coarse Sand
28,190512.0,492.5113319981433,682.7436362415381,422.10787767950114,2509.6450198781713,-44.807188240864875,1.6174624363678256,0.3801085227302601,0.7529880478087649,Medium Sand
29,96912.0,351.2722459281036,386.3570890972254,335.45752168076103,1296.1463197058372,-87.80503994607147,1.151731781602152,0.7249021005975179,0.9021447721179625,Medium Sand
30,441072.0,749.3932962573309,1132.518997700371,646.6961282951277,4467.923373939973,36.124985373535594,1.7512382526334411,0.27765654832082803,0.6890888638920135,Coarse Sand
31,612432.0,883.0473604859736,1556.4911906343164,562.2566665462562,4949.275754406469,-85.32109052709141,2.7682929936523317,0.3141842683136519,0.7697737556561086,Coarse Sand
32,56304.0,267.7470435444033,433.1667979504185,178.13213704368124,1189.8519471906086,-88.80889856946311,2.431716169464683,0.4997620359502068,0.7931034482758621,Medium Sand
33,959760.0,1105.4430720100515,1648.8925738083817,850.0497217073755,6613.877051683245,-10.435087967902696,1.9397601477905113,0.27571492447927637,0.7337883959044369,Very Coarse Sand
