Label,Area (µm^2),EquivalentDiameter (µm),MajorAxisLength (µm),MinorAxisLength (µm),Perimeter (µm),Orientation (deg),AspectRatio,Circularity,Solidity,Class
2,2160.0,52.4423246684198,67.88225099390857,39.191835884530846,144.0,0.0,1.7320508075688776,1.308996938995747,1.0,Silt/Clay
4,5760.0,85.63795757533302,121.32321379260614,62.95425160411001,278.91168824543144,79.52808405925875,1.9271647379044605,0.9304625940014488,0.9523809523809523,Very Fine Sand
5,12528.0,126.29784248530186,235.9992032058239,81.2724919093222,566.5584412271571,-88.40578093309982,2.903801737359478,0.4904584029709916,0.7909090909090909,Fine Sand
7,4320.0,74.1646467884524,183.585700936873,44.4410892251419,300.8528137423857,-84.24760241665545,4.130990129580623,0.5997709897822101,0.7142857142857143,Very Fine Sand
8,46512.0,243.353483033882,403.0592263084534,179.46247516128125,1137.6610383315985,76.44440381005938,2.245924814901989,0.4515949829983775,0.7764423076923077,Fine Sand
9,1152.0,38.29845891853754,75.71526720225505,20.571784377907512,91.4558441227157,-87.66660216070487,3.6805396076174763,1.7307702357533912,0.8,Silt/Clay
10,5328.0,82.36395021093237,152.15963199355588,47.544175068731874,322.3675323681471,87.33303267936806,3.2003843115079285,0.6442753128380985,0.8809523809523809,Very Fine Sand
11,342000.0,659.8847810788075,1342.1269779940524,709.8422844265784,6366.847614431723,-58.70619523063115,1.890739686039193,0.10601981915984394,0.44862108046845484,Coarse Sand
12,9504.0,110.00394826170097,125.36022740252709,102.7013008059761,374.5584412271571,-83.64975420357571,1.2206294021470903,0.8512891804007785,0.88,Very Fine Sand
13,76032.0,311.13815109257155,633.4336116080033,203.2858798378274,1669.0722933011411,-54.94608682874891,3.1159744696155434,0.3429698811004966,0.6384522370012092,Medium Sand
15,55152.0,264.9937874200708,536.6283371647764,139.3029970461934,1203.4112549695428,87.95183493020718,3.8522382758701768,0.4785672689303885,0.9228915662650602,Medium Sand
16,4464.0,75.39059177177062,134.27735178791943,43.17486981696625,269.8233764908628,-87.53282732113898,3.110081219866308,0.7705040125117667,0.9117647058823529,Very Fine Sand
17,864.0,33.16743834924821,52.36005856124594,19.860117508788722,60.0,-77.06684915928662,2.636442535552722,3.015928947446201,0.8571428571428571,Silt/Clay
18,25776.0,181.16021225725464,221.38578926320685,161.87593542792752,660.0731598529186,-36.773600416318914,1.3676263162771038,0.7434319811808949,0.8647342995169082,Fine Sand
19,88128.0,334.974707401052,534.1461920688993,266.4198729250033,1626.8225099390856,78.78235820622818,2.004903711590841,0.4184498651754023,0.7303102625298329,Medium Sand
20,22896.0,170.739838983924,224.33696497711827,152.42273374336497,672.0731598529185,-51.27677624648039,1.4718077774069824,0.6369955189266805,0.8195876288659794,Fine Sand
21,56016.0,267.06139057880466,586.7656755825909,232.48753391905305,1833.3077913133238,-64.05585649364339,2.523858658963149,0.20943592980255196,0.6040372670807453,Medium Sand
22,7344.0,96.69886874485675,109.07453197188015,92.8723075316704,341.82337649086287,75.2045447935982,1.1744570030704213,0.7898397975221259,0.8947368421052632,Very Fine Sand
23,9072.0,107.47478378595324,151.76910615370636,87.10599066682364,410.13203435596427,40.687997047030855,1.7423498084559548,0.6777437496818738,0.8181818181818182,Very Fine Sand
24,576.0,27.081100010292303,33.941125496954285,20.784609690826528,55.4558441227157,90.00003218077504,1.6329931618554523,2.3536273758173025,1.0,Silt/Clay
25,294624.0,612.4760629020964,1788.8002782307449,321.7570142915555,4442.29090630812,77.44358926279189,5.5594756253234285,0.18761346096475143,0.5642581356867071,Coarse Sand
26,14112.0,134.04460621488136,170.828373114184,117.85499657189789,496.19090885900994,-81.94794476477468,1.4494792591162606,0.7202791210919218,0.8448275862068966,Fine Sand
